FUND_CODE		SHORT_NAME	LONG_NAME	CLASS			MH_FLAG	COMMENTS	AKSAS_ACCT_ALT	ACTIVE	STAT_REF	AKSAS_FUNDS	CREATE_BY	CREATE_TIME	CHANGE_BY	CHANGE_TIME	RETAINS_INTEREST
1162	|1162|	AOGCC Rcpt	Alaska Oil & Gas Conservation Commission Rcpts	D	1162 Alaska Oil & Gas Conservation Commission Rcpts	"csv_find_replace_column(""1162 AOGCC Rcpt"",""1162 Alaska Oil & Gas Conservation Commission Rcpts"", fund_column)"	N	"Added 8-1-00 by Joan Brown per AS 37.05.146(b)(4)(w), sec. 3,  ch. 34, SLA 1999."	51079	Y				06:59.2			N
1161	|1161|	RRD Fund	Renewable Resources Development Fund-Inactive	D	1161 Renewable Resources Development Fund-Inactive	"csv_find_replace_column(""1161 RRD Fund"",""1161 Renewable Resources Development Fund-Inactive"", fund_column)"	N	"Added by Joan Brown 9-5-00 to match Leg Finance's addition of historical fund source codes.  Per Leg Finance, this was used initially in 1974 and repealed in 1984."	0	N				06:59.2	CKOSULLIVAN	40:26.1	N
1051	|1051|	RuralEcDev	Rural Economic Development Initiative Fund	D	1051 Rural Economic Development Initiative Fund	"csv_find_replace_column(""1051 RuralEcDev"",""1051 Rural Economic Development Initiative Fund"", fund_column)"	N	"Name chg from Rural Dev Initiative Fund due to SB 248, Ch 117, SLA2000. Inactivated in 01 after AIDEA Board on 2-8-01 met & authorized capitalization of new fund (new Rural Dev Initiative Fund - F#1164)& purchase of REDIF assets.  AKSAS Fund # 21644."	68515	N				06:59.2	CKOSULLIVAN	16:37.6	N
1222	|1222|	REAA Fund	Regional Educational Attendance Area School Fund	O	1222 Regional Educational Attendance Area School Fund	"csv_find_replace_column(""1222 REAA Fund"",""1222 Regional Educational Attendance Area School Fund"", fund_column)"	N	"LFD has classified as Other, not DGF 1/2017. KM"	68515	Y	14.11.030	11190		29:36.3	KEMAUSETH	18:16.0	N
1033	|1033|	Surpl Prop	Surplus Property Revolving Fund	F	1033 Surplus Property Revolving Fund	"csv_find_replace_column(""1033 Surpl Prop"",""1033 Surplus Property Revolving Fund"", fund_column)"	N		68515	Y	37.05.500/44.68.110-130	11112		06:59.2	BALARSON	50:51.0	N
1164	|1164|	RDIF	Rural Development Initiative Fund	D	1164 Rural Development Initiative Fund	"csv_find_replace_column(""1164 RDIF"",""1164 Rural Development Initiative Fund"", fund_column)"	N	"Created by passage of SB 248, Ch 117, SLA 2000.  Supercedes former RDIF which was renamed Rural Economic Dev Loan Fund by same bill (fund source 1051). "	51435	Y	44.88.600	21663		06:59.2	BALARSON	53:38.9	N
1165	|1165|	CBR/MH	CBR/Mental Health	O	1165 CBR/Mental Health	"csv_find_replace_column(""1165 CBR/MH"",""1165 CBR/Mental Health"", fund_column)"	Y	"LFD has classified as Other, not UGF 1/2017. KM Added to match Leg Finance 5-1-01 (used by Senate Finance)"	61405	N				06:59.2	KEMAUSETH	15:41.7	N
1167	|1167|	NTSC Bond	Northern Tobacco Securitization Corporation Bonds	O	1167 Northern Tobacco Securitization Corporation Bonds	"csv_find_replace_column(""1167 NTSC Bond"",""1167 Northern Tobacco Securitization Corporation Bonds"", fund_column)"	N	"Added 5-1-01 re passage of HB 234, Tobacco Bond bill, SLA 2001. AKSAS Fund 11176 per DOF 5/2012"	51437	Y		11176		06:59.2	KEELLIOTT	09:51.6	N
1148	|1148|	AATP Fund 	Accelerated Alaska Transportation Projects Fund	O	1148 Accelerated Alaska Transportation Projects Fund	"csv_find_replace_column(""1148 AATP Fund "",""1148 Accelerated Alaska Transportation Projects Fund"", fund_column)"	N	Added 1/21/2000 as a fund source for Gov's legislation relating to issuance of state guaranteed transportation revenue anticipation bonds. Ultimately not used then. HB525 Ch 114 SLA 2002 passed and was approved by voters Nov 2002.  AKSAS Fund # 13110	51487	Y		13110		06:59.2	BALARSON	51:59.9	N
1043	|1043|	Impact Aid	Impact Aid for K-12 Schools	F	1043 Impact Aid for K-12 Schools	"csv_find_replace_column(""1043 Impact Aid"",""1043 Impact Aid for K-12 Schools"", fund_column)"	N	Modified 7-30-01 to match Leg Finance.  Title changed from P/L 81-874 to Impact Aid.  Federal program was reauthorized.	51130	Y				06:59.2			N
1193	|1193|	MaintGrant	Major Maintenance Grant Fund	D	1193 Major Maintenance Grant Fund	"csv_find_replace_column(""1193 MaintGrant"",""1193 Major Maintenance Grant Fund"", fund_column)"	N	"AS 14.11.007  (created in SLA 1993, but not used again until 2004)"	51361	N		11144		06:59.2	CKOSULLIVAN	45:34.3	N
1093	|1093|	Clean Air	Clean Air Protection Fund	O	1093 Clean Air Protection Fund	"csv_find_replace_column(""1093 Clean Air"",""1093 Clean Air Protection Fund"", fund_column)"	N	OMB created.	68515	Y	46.14.260	12133		06:59.2	BALARSON	49:27.9	N
1194	|1194|	F&G Nonded	Fish and Game Nondedicated Receipts	D	1194 Fish and Game Nondedicated Receipts	"csv_find_replace_column(""1194 F&G Nonded"",""1194 Fish and Game Nondedicated Receipts"", fund_column)"	N	No longer being used - see 1024. cko 5-13-14. Acct 68540 is also inactive. 51045 is used for fund code 1024.	51045	N	16.05.100	12124/12147                   		06:59.2	CKOSULLIVAN	18:50.8	N
1170	|1170|	SmBusEDRLF	Small Business Economic Development Revolving Loan Fund	D	1170 Small Business Economic Development Revolving Loan Fund	"csv_find_replace_column(""1170 SmBusEDRLF"",""1170 Small Business Economic Development Revolving Loan Fund"", fund_column)"	N	"Added per request of DCED on Nov 15, 2001 for use in the FY03 budget.  "	51467	Y	44.88.400	21620 (rollup)                		06:59.2	BALARSON	57:58.8	N
1179	|1179|	PFC 	Passenger Facility Charges	O	1179 Passenger Facility Charges	"csv_find_replace_column(""1179 PFC "",""1179 Passenger Facility Charges"", fund_column)"	N	5-11-02  Per S CSHB 262(RLS).  Changed alternate acct 6/11/02 at DoF request. 	68515	Y	AS 37.05.146(b)(4)(BBB)/37.15.430	21603/21604                   		06:59.2	BALARSON	03:20.3	N
1126	|1126|	Cont Reimb	Contract Services Reimbursement - FY88	O	1126 Contract Services Reimbursement - FY88	"csv_find_replace_column(""1126 Cont Reimb"",""1126 Contract Services Reimbursement - FY88"", fund_column)"	N	"Leg. Finance use only
Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm  Was fund code 1019 in FY88."	0	N				06:59.2			N
1185	|1185|	ElectionFd	Election Fund (HAVA)	O	1185 Election Fund (HAVA)	"csv_find_replace_column(""1185 ElectionFd"",""1185 Election Fund (HAVA)"", fund_column)"	N	"Added per the federal Help America Vote Act of 2002(H.R. 3295), otherwise known as HAVA. Duplicated fund source."	68515	Y		11179		06:59.2	CKOSULLIVAN	33:26.7	N
1022	|1022|	Corp Rcpts	State Corporation Receipts	O	1022 State Corporation Receipts	"csv_find_replace_column(""1022 Corp Rcpts"",""1022 State Corporation Receipts"", fund_column)"	N	This fund code was used pre-FY98 for state corporation appropriations.  This code was broken into separate fund codes for each state corporation in FY99 and is no longer used.	68515	N				06:59.2			N
1077	|1077|	Gifts/Grnt	Gifts/Grants/Bequests	O	1077 Gifts/Grants/Bequests	"csv_find_replace_column(""1077 Gifts/Grnt"",""1077 Gifts/Grants/Bequests"", fund_column)"	N	This fund code was eliminated in SLA 1997 with the enactment of the statutory designated program receipts fund code 1108.	51381	N				06:59.2			N
1149	|1149|	TAPL Fund	Trans-Alaska Pipeline Liability Fund	F	1149 Trans-Alaska Pipeline Liability Fund	"csv_find_replace_column(""1149 TAPL Fund"",""1149 Trans-Alaska Pipeline Liability Fund"", fund_column)"	N	Added 2/15/00 by Joan Brown. 11163 = TAPS AK Rebate Fund. KM	0	N		11163		06:59.2	KEMAUSETH	35:51.3	N
1163	|1163|	COPs	Certificates of Participation	O	1163 Certificates of Participation	"csv_find_replace_column(""1163 COPs"",""1163 Certificates of Participation"", fund_column)"	N	"re passage of HB 76 and sec 26, SB 29 (capital budget bill), SLA 2001. Updated 4-8-03 to match Leg Finance: deleted ""Lease Purchase"" from Certificates of Participation Lease Purchase. Changed short name from LeaseBonds to COPs."	51291	Y				06:59.2			N
1032	|1032|	Fish Fund	Fishermen's Fund	D	1032 Fishermen's Fund	"csv_find_replace_column(""1032 Fish Fund"",""1032 Fishermen's Fund"", fund_column)"	N	Updated 4-8-02 to match enabling statute AS 23.35.060. Former short and long names were Dis Fisher and Disabled Fishermans Reserve Account.  AKSAS fund # 11119	68515	Y	AS 23.35.060	11119		06:59.2	TNARVAEZ1	55:34.0	N
1177	|1177|	ITB Endow	International Trade and Business Endowment	O	1177 International Trade and Business Endowment	"csv_find_replace_column(""1177 ITB Endow"",""1177 International Trade and Business Endowment"", fund_column)"	N	"added 4-26-02 to match Leg Finance's use in HB 403 for FY2003 operating budget. Endowment created by Ch 55, SLA 1997.  AKSAS Fund # 34060.  Finance will inactivate fund in FY05."	51468	N				06:59.2	CKOSULLIVAN	29:24.0	N
1181	|1181|	Vets Endow	Alaska Veterans' Memorial Endowment Fund	O	1181 Alaska Veterans' Memorial Endowment Fund	"csv_find_replace_column(""1181 Vets Endow"",""1181 Alaska Veterans' Memorial Endowment Fund"", fund_column)"	N		51486	Y	AS 37.14.700	36010		06:59.2	CKOSULLIVAN	21:11.3	N
1196	|1196|	Master LOC	Master Lease Line of Credit	O	1196 Master Lease Line of Credit	"csv_find_replace_column(""1196 Master LOC"",""1196 Master Lease Line of Credit"", fund_column)"	N	Added as Alaska Senior Care Fund 1-7-05 in order for HSS to write fiscal note for successor to 1189 Senior Care Fund.  That one was later changed to 1198 and this one to Master Lease Line of Credit to sync up with Leg. Fin.	51292	Y				06:59.2	AMBRYAN	21:03.4	N
1182	|1182|	Ed Cn/Mnt	Educational and Museum Facility Design/Const/MajorMaint Fund	O	1182 Educational and Museum Facility Design/Const/MajorMaint Fund	"csv_find_replace_column(""1182 Ed Cn/Mnt"",""1182 Educational and Museum Facility Design/Const/MajorMaint Fund"", fund_column)"	N	Proceeds of General Obligation Bonds authorized by HB 2002 (SLA 2002)--received voter approval in November 2002. 	51485	Y		13112		06:59.2	BWFECHTER	10:52.3	N
1183	|1183|	Trans Proj	Transportation Project Fund	O	1183 Transportation Project Fund	"csv_find_replace_column(""1183 Trans Proj"",""1183 Transportation Project Fund"", fund_column)"	N	Proceeds of General Obligation Bonds authorized in HB 525 (SLA 2002)--received voter approval in November 2002. 	51483	Y		13111		06:59.2	BALARSON	07:53.2	N
1029	|1029|	P/E Retire	Public Employees Retirement System Fund	O	1029 Public Employees Retirement System Fund	"csv_find_replace_column(""1029 P/E Retire"",""1029 Public Employees Retirement System Fund"", fund_column)"	N		68515	Y	39.35.010	35010		06:59.2	BALARSON	46:42.5	N
1166	|1166|	Vessel Com	Commercial Passenger Vessel Environmental Compliance Fund	O	1166 Commercial Passenger Vessel Environmental Compliance Fund	"csv_find_replace_column(""1166 Vessel Com"",""1166 Commercial Passenger Vessel Environmental Compliance Fund"", fund_column)"	N	"Added to match Leg Finance re HB 260 Cruise Ship bill, subject of June 2001 special session.  
Short Title modified 6/11 to match Leg Fin
Changed alternate acct to 68515 6/11/02"	68515	Y	"AS 46.03.482(b)(1) and (2), and (d)"	11174		06:59.2	KEMAUSETH	19:41.1	N
1169	|1169|	PCE Endow	PCE Endowment Fund	D	1169 PCE Endowment Fund	"csv_find_replace_column(""1169 PCE Endow"",""1169 PCE Endowment Fund"", fund_column)"	N	"Per passage of HB 446 in SLA 2000. 

modified alternate to 68515 due to DoF request 6/11/02"	68515	Y	42.45.070(c)	33065		06:59.2	BALARSON	56:33.8	N
1173	|1173|	Misc Earn	Miscellaneous Earnings	U	1173 Miscellaneous Earnings	"csv_find_replace_column(""1173 Misc Earn"",""1173 Miscellaneous Earnings"", fund_column)"	N	Added 3-7-02 as a multi-purpose fund source.  Used in FY03 for 1) earnings on cash held by AHFC as a result of the sale of the tobacco settlement stream to NTSC and 2) Muni Bond Bank misc earnings.  	51475	Y				06:59.2			N
1225	|1225|	CQuota RLF	Community Quota Entity Revolving Loan Fund	D	1225 Community Quota Entity Revolving Loan Fund	"csv_find_replace_column(""1225 CQuota RLF"",""1225 Community Quota Entity Revolving Loan Fund"", fund_column)"	N	SLA HB121 sec. 9 amends sec. 16.10 - AKSAS 51506	68515	Y	16.10.345	21633	KEELLIOTT	49:30.4	KEELLIOTT	26:24.9	N
1178	|1178|	tracking	tracking code	U	1178 tracking code	"csv_find_replace_column(""1178 tracking"",""1178 tracking code"", fund_column)"	N	This code is used as a temporary tracking code for potential new fund codes.  It should never appear in a final bill because all new fund codes should be established before a bill is run.  Added to match Leg Finance. Changed to UGF to ensure that potential UGF spending is not understated. 1/2015.	61405	Y				06:59.2	KEMAUSETH	34:35.3	N
1112	|1112|	IntAptCons	International Airports Construction Fund	O	1112 International Airports Construction Fund	"csv_find_replace_column(""1112 IntAptCons"",""1112 International Airports Construction Fund"", fund_column)"	N	"updated 6/17/98 by OMB, JM. rec'd from DOA, the AKSAS #. Updated again 8-13-03 by JoanB per Cristine Sullivan in Finance.  "	68515	Y	AS 37.15.420	13409 (rollup)                		06:59.2	BALARSON	34:03.3	N
1188	|1188|	Fed Unrstr	Federal Unrestricted Receipts	F	1188 Federal Unrestricted Receipts	"csv_find_replace_column(""1188 Fed Unrstr"",""1188 Federal Unrestricted Receipts"", fund_column)"	N	Added to track the $50 million in unrestricted federal tax relief funds appropriated in FY04/05.  	51010	Y				06:59.2			N
1187	|1187|	Fed MH	Federal Mental Health	F	1187 Federal Mental Health	"csv_find_replace_column(""1187 Fed MH"",""1187 Federal Mental Health"", fund_column)"	Y	Added to match Leg Fin on 1-20-04	51010	N				06:59.2	CKOSULLIVAN	45:02.9	N
1190	|1190|	Adak Ops	Adak Airport Operations 	F	1190 Adak Airport Operations 	"csv_find_replace_column(""1190 Adak Ops"",""1190 Adak Airport Operations "", fund_column)"	N	Established for new 5-yr DOT and Fed contract for ops and maint of Adak airport. Contract with Dept of Navy requires these funds & interest earnings be segregated from other state funds & only used for ops & maint of Adak airport. AKSAS Fund # 11181.	51484	Y		11181		06:59.2	JBROWN	45:07.2	N
1191	|1191|	DEED CIP	DEED CIP Fund Equity Account	D	1191 DEED CIP Fund Equity Account	"csv_find_replace_column(""1191 DEED CIP"",""1191 DEED CIP Fund Equity Account"", fund_column)"	N	added 4-19-04 to match Leg Finance	51005	N				06:59.2	BALARSON	46:12.7	N
1041	|1041|	PF Earn Rs	Permanent Fund Earnings Reserve Account	U	1041 Permanent Fund Earnings Reserve Account	"csv_find_replace_column(""1041 PF Earn Rs"",""1041 Permanent Fund Earnings Reserve Account"", fund_column)"	N	Reclassified from DGF to UGF per LFD 1/2017. AKSAS Fund # 34030 used for CAFR reporting only. Reclassified from UGF to DGF Teal 10-25-11 email. 	51373	Y	37.13.145			06:59.2	KEMAUSETH	13:01.0	N
1054	|1054|	Empl Trng	State Employment & Training Program	D	1054 State Employment & Training Program	"csv_find_replace_column(""1054 Empl Trng"",""1054 State Employment & Training Program"", fund_column)"	N	"AS 23.15.625 provides for an account in the general fund.

AKSAS Fund # 11134"	68515	Y	AS 23.15.625	11134		06:59.2	TNARVAEZ1	01:55.0	N
1198	|1198|	F&GRevBond	Alaska Fish and Game Revenue Bond Redemption Fund	O	1198 Alaska Fish and Game Revenue Bond Redemption Fund	"csv_find_replace_column(""1198 F&GRevBond"",""1198 Alaska Fish and Game Revenue Bond Redemption Fund"", fund_column)"	N	Set up  in 2005 per SB 147 (ch 94 SLA 2005) sportfish hatchery bond legislation that passed.	68515	Y	AS 37.15.770	14122		06:59.2			N
1062	|1062|	Power Proj	Power Project Loan Fund	D	1062 Power Project Loan Fund	"csv_find_replace_column(""1062 Power Proj"",""1062 Power Project Loan Fund"", fund_column)"	N	Transferred to AEA 7/99. AKSAS Fund # 21645. Finance inactivated fund 7/99.	51350	Y	AS 42.45.010			06:59.2	JBROWN	51:49.1	N
1065	|1065|	Rural Elec	Rural Electrification Revolving Loan Fund	D	1065 Rural Electrification Revolving Loan Fund	"csv_find_replace_column(""1065 Rural Elec"",""1065 Rural Electrification Revolving Loan Fund"", fund_column)"	N	AKSAS Fund # 21624. Finance inactivated fund 6/95.	68515	Y				06:59.2			N
1056	|1056|	Elect Svc	Electrical Service Extension Fund	D	1056 Electrical Service Extension Fund	"csv_find_replace_column(""1056 Elect Svc"",""1056 Electrical Service Extension Fund"", fund_column)"	N	AKSAS Fund #21940.  Finance inactivated fund 6/95.  Still in  budgets since then as of FY05.	68515	N				06:59.2	CKOSULLIVAN	17:18.4	N
1075	|1075|	Clean Wtr	Alaska Clean Water Loan Fund	O	1075 Alaska Clean Water Loan Fund	"csv_find_replace_column(""1075 Clean Wtr"",""1075 Alaska Clean Water Loan Fund"", fund_column)"	N		68515	Y	46.03.032	21640		06:59.2	BALARSON	52:01.6	N
1079	|1079|	Storg Tank	Underground Storage Tank Revolving Loan Fund	D	1079 Underground Storage Tank Revolving Loan Fund	"csv_find_replace_column(""1079 Storg Tank"",""1079 Underground Storage Tank Revolving Loan Fund"", fund_column)"	N	AKSAS Fund # 11136	68515	Y	AS 46.03.410			06:59.2			N
1083	|1083|	Educ Facil	Education Facilities Maint & Construction	D	1083 Education Facilities Maint & Construction	"csv_find_replace_column(""1083 Educ Facil"",""1083 Education Facilities Maint & Construction"", fund_column)"	N	"Used in OMB front section (Sec 24, Chap.79). "	68515	N	37.16.010	11142		06:59.2	BALARSON	57:53.3	N
1085	|1085|	Rail InTie	Railbelt Intertie Reserve Fund	D	1085 Railbelt Intertie Reserve Fund	"csv_find_replace_column(""1085 Rail InTie"",""1085 Railbelt Intertie Reserve Fund"", fund_column)"	N	AKSAS Fund # 11127. Finance inactivated fund 3/00.	68515	N				06:59.2	CKOSULLIVAN	20:37.0	N
1087	|1087|	Muni Match	Municipal Matching Grant Fund	D	1087 Municipal Matching Grant Fund	"csv_find_replace_column(""1087 Muni Match"",""1087 Municipal Matching Grant Fund"", fund_column)"	N	Default and Alternate reversed on 7-2-01 by Joan Brown per DCED and Finance request.	51402	Y	37.06.010	11146		06:59.2	BWFECHTER	29:11.5	N
1101	|1101|	AERO Rcpts	Alaska Aerospace Development Corporation Receipts	O	1101 Alaska Aerospace Development Corporation Receipts	"csv_find_replace_column(""1101 AERO Rcpts"",""1101 Alaska Aerospace Development Corporation Receipts"", fund_column)"	N	Transferred from Leg. Fin. 5/28/97.  	51416	Y	14.40.841	21650		06:59.2	BALARSON	55:05.2	N
1212	|1212|	Fed ARRA	Federal Stimulus: ARRA 2009	F	1212 Federal Stimulus: ARRA 2009	"csv_find_replace_column(""1212 Fed ARRA"",""1212 Federal Stimulus: ARRA 2009"", fund_column)"	N	"Added in order to track the federal funds received via the American Recovery and Reinvestment Act of 2009 signed by President Obama February 17, 2009."	51118	Y			JBROWN	01:27.3	SHILDEBRAND	21:19.7	N
1052	|1052|	Oil/Haz Fd	Oil/Hazardous Prevention/Response Fund	D	1052 Oil/Hazardous Prevention/Response Fund	"csv_find_replace_column(""1052 Oil/Haz Fd"",""1052 Oil/Hazardous Prevention/Response Fund"", fund_column)"	N	"Prevention - 11122; Response - 11129; Prevention/Response Fund - 11128
IRIS - Response is fund 3208 and Prevention is fund 1052
"	68515	Y	46.08.010	11122		06:59.2	CKOSULLIVAN	45:50.8	N
1117	|1117|	VocRandSh	Randolph Sheppard Small Business Fund	O	1117 Randolph Sheppard Small Business Fund	"csv_find_replace_column(""1117 VocRandSh"",""1117 Randolph Sheppard Small Business Fund"", fund_column)"	N	added 12/1/98; updated short name to match Leg. Finance record-entered 1/7/99  AKSAS funds # 11116  & 11118. Net proceeds from vending facilities on public property. May be appropriated to dept to aid licensees in operating vend machine facilities. 9/2014 - this fund code is for Randolf-Sheppard receipts only; categorized as other dedicated receipts from vendors. Revenue from facilities on state property will be appropriated using code 1237. KM per LFD	68515	Y	AS 23.15.130	11118		06:59.2	KEMAUSETH	40:41.3	N
1168	|1168|	Tob Ed/Ces	Tobacco Use Education and Cessation Fund	D	1168 Tobacco Use Education and Cessation Fund	"csv_find_replace_column(""1168 Tob Ed/Ces"",""1168 Tobacco Use Education and Cessation Fund"", fund_column)"	N	"Added 5/22/01 per passage of HB 234, Tobacco Bond bill, SLA 2001.

changed alternate to 68515 due to DoF request 6/11/02"	68515	Y	AS 37.05.580	11175		06:59.2	KEMAUSETH	11:32.6	N
1172	|1172|	Bldg Safe	Building Safety Account	D	1172 Building Safety Account	"csv_find_replace_column(""1172 Bldg Safe"",""1172 Building Safety Account"", fund_column)"	N	Added 3-7-02 for HB262 to account for building inspection fees collected by DLWD under AS 18.60.180-.395 and elevator inspection fees collected under AS 18.60.800-.820.  Also see AS 44.31.025.	68515	Y	18.60.360(c)	11177		06:59.2	BALARSON	00:36.1	N
1176	|1176|	Sci/T End	Science and Technology Endowment Fund	D	1176 Science and Technology Endowment Fund	"csv_find_replace_column(""1176 Sci/T End"",""1176 Science and Technology Endowment Fund"", fund_column)"	N	Added 4-17-02 to match draft Leg Finance info.  AKSAS Fund # 34060.  Finance will inactivate fund in FY05. 	51468	N				06:59.2	CKOSULLIVAN	42:38.0	N
1011	|1011|	Educ Trust	Alaska Advance College Tuition Payment Fund	O	1011 Alaska Advance College Tuition Payment Fund	"csv_find_replace_column(""1011 Educ Trust"",""1011 Alaska Advance College Tuition Payment Fund"", fund_column)"	N	Previous Yr-long name Alaska Education Trust Fund.  AKSAS Fund # 33050. Finance inactivated fund 3/03.	51376	N				06:59.2			N
1018	|1018|	EVOSS	Exxon Valdez Oil Spill Settlement	O	1018 Exxon Valdez Oil Spill Settlement	"csv_find_replace_column(""1018 EVOSS"",""1018 Exxon Valdez Oil Spill Settlement"", fund_column)"	N		68530	Y		33070		06:59.2	WCBELKNAP	52:51.4	N
1020	|1020|	Grain Fund	Grain Reserve Loan Fund	D	1020 Grain Reserve Loan Fund	"csv_find_replace_column(""1020 Grain Fund"",""1020 Grain Reserve Loan Fund"", fund_column)"	N	AKSAS Fund # 21636.  Finance inactivated fund in the 1990s.	68515	N				06:59.2	CKOSULLIVAN	02:23.8	N
1133	|1133|	CSSD Reimb	CSSD Administrative Cost Reimbursement	F	1133 CSSD Administrative Cost Reimbursement	"csv_find_replace_column(""1133 CSSD Reimb"",""1133 CSSD Administrative Cost Reimbursement"", fund_column)"	N	"Added 3-25-99 to match Leg Fin: Indirect Cost Reimbursement.  First used in FY99 supplemental (Ch 2 SLA 99 Sec 16(a)) for CSED. Name change 1-22-04 to match Leg Fin: CSED Admin Cost Reimbursement.12-6-04 changed to CSSD to match division name change.
"	51115	Y				06:59.2			N
1175	|1175|	BLic&Corp	Business License and Corporation Filing Fees and Taxes	D	1175 Business License and Corporation Filing Fees and Taxes	"csv_find_replace_column(""1175 BLic&Corp"",""1175 Business License and Corporation Filing Fees and Taxes"", fund_column)"	N	"Added 4-9-02 to match Leg Finance. AS 37.05.144.
Amened 2-24-05 to match Leg Finance."	51173	Y				06:59.2			N
1199	|1199|	SFEntAcct	Alaska Sport Fishing Enterprise Account	O	1199 Alaska Sport Fishing Enterprise Account	"csv_find_replace_column(""1199 SFEntAcct"",""1199 Alaska Sport Fishing Enterprise Account"", fund_column)"	N	"Established per ch 94, SLA 2005 (SB 147)"	68515	Y	AS 16.05.130	12144		06:59.2	JBROWN	54:28.6	N
1219	|1219|	Emrng Tech	Emerging Energy Technology Fund	O	1219 Emerging Energy Technology Fund	"csv_find_replace_column(""1219 Emrng Tech"",""1219 Emerging Energy Technology Fund"", fund_column)"	N		68515	N	42.45.375	11210	SHILDEBRAND	03:31.2	JRSTERN1	29:19.4	N
1116	|1116|	DisRlFd	Disaster Relief Fund	O	1116 Disaster Relief Fund	"csv_find_replace_column(""1116 DisRlFd"",""1116 Disaster Relief Fund"", fund_column)"	N	"added 12/1/98 to match leg finance; SLA98 Ch 139, Sec 117, Pg 33 Ln 14."	68515	Y	AS 26.23.300	12120		06:59.2	KEMAUSETH	09:42.7	N
1140	|1140|	AIDEA Div	AIDEA Dividend	U	1140 AIDEA Dividend	"csv_find_replace_column(""1140 AIDEA Div"",""1140 AIDEA Dividend"", fund_column)"	N	To match Leg Finance code added for recasting by Joan Brown 11/10/99.   4-10-00 Recast grp changed from general purpose to other(recast) to match leg finance. Unused annual dividend funds revert to UGF and may not be used the consecutive year as 1140.	51406	Y				06:59.2	TNARVAEZ1	53:09.5	N
1066	|1066|	Pub School	Public School Trust Fund	O	1066 Public School Trust Fund	"csv_find_replace_column(""1066 Pub School"",""1066 Public School Trust Fund"", fund_column)"	N	This is the Public School Trust Fund used in K-12 Foundation Program.  It is the income from the trust that is used exculusively for public school support.  Trust principal from 7/11/78 balance of public school permanent fund and one-half of one percent of the receipts derived from management of state lands.  PSTF administered by DOR and DNR. Changed from DGF to Other. 10/15/2016 KM	68515	Y	37.14.110(a)140	34012		06:59.2	WCBELKNAP	25:50.0	N
1030	|1030|	School Fnd	School Fund (Cigarette Tax)	D	1030 School Fund (Cigarette Tax)	"csv_find_replace_column(""1030 School Fnd"",""1030 School Fund (Cigarette Tax)"", fund_column)"	N	"This is the fund used for school debt reimbursement.  Fund receives revenue from cigarette taxes, fees, and penalties and can only be used to rehabilitate, construct, and repair school facilities or insurance on school buildings.  Updated 6/17/98 by OMB, JM. Changed AKSAS # from 60180 as requested by DOA, Finance.  AKSA Fund # 12123"	68515	Y	AS 43.50.140	12123		06:59.2	KEMAUSETH	55:26.4	N
1189	|1189|	Sr Care	Senior Care Fund	D	1189 Senior Care Fund	"csv_find_replace_column(""1189 Sr Care"",""1189 Senior Care Fund"", fund_column)"	N	"re 2004 session HB 374 and SB 259.  Appropriations in SB 283.  Modified in 2005 session, HB 106. New fund name Alaska Senior Care Fund.  Kept same fund code after discussion with Leg Finance, Finance, and Law."	68515	N	AS 47.45.360	11182		06:59.2	JRSTERN1	28:28.8	N
1200	|1200|	VehRntlTax	Vehicle Rental Tax Receipts	D	1200 Vehicle Rental Tax Receipts	"csv_find_replace_column(""1200 VehRntlTax"",""1200 Vehicle Rental Tax Receipts"", fund_column)"	N	"Added 3-2-06 to conform with Leg Finance's use of this code in DCCED and DNR. Leg Finance treats as Other (restricted GF), Cheryl decided to treat as unrestricted GF as of 4-28-06."	51005	Y	AS 43.52.080	                              		06:59.2			N
1201	|1201|	CFEC Rcpts	Commercial Fisheries Entry Commission Receipts	D	1201 Commercial Fisheries Entry Commission Receipts	"csv_find_replace_column(""1201 CFEC Rcpts"",""1201 Commercial Fisheries Entry Commission Receipts"", fund_column)"	N	Added 3-2-06 to conform with Leg Finance's use of this new code in ADF&G.	51132	Y	16.05.490/530; 16.43; 37.05.146(c)(29)	                              		06:59.2	WCBELKNAP	52:35.6	N
1202	|1202|	Anatomical	Anatomical Gift Awareness Fund	D	1202 Anatomical Gift Awareness Fund	"csv_find_replace_column(""1202 Anatomical"",""1202 Anatomical Gift Awareness Fund"", fund_column)"	N		68515	Y	AS 13.50.160	11183		06:59.2	BALARSON	18:26.8	N
1155	|1155|	Timber Rcp	Timber Sale Receipts	D	1155 Timber Sale Receipts	"csv_find_replace_column(""1155 Timber Rcp"",""1155 Timber Sale Receipts"", fund_column)"	N	"per ch. 63, SLA 2000 (Governor's bill)"	51076	Y	AS 38.05.110 and AS 37.05.146(b)			06:59.2			N
1207	|1207|	Cr Shp Imp	Regional Cruise Ship Impact Fund	O	1207 Regional Cruise Ship Impact Fund	"csv_find_replace_column(""1207 Cr Shp Imp"",""1207 Regional Cruise Ship Impact Fund"", fund_column)"	N	"Repealed by Sec. 12 Ch101 SLA10 (SB312)
Deposited into Acct 60277 in GF by Revenue.  At the end of each FY, DOR transfers the 25% of the CPV tax to this Fund."	51494	N	43.52.230(c)	11205	SHILDEBRAND	49:18.8	CKOSULLIVAN	32:40.5	N
